PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=82 ttl=47 time=46.7 ms
64 bytes from 141.44.1.1: icmp_seq=83 ttl=47 time=47.9 ms
64 bytes from 141.44.1.1: icmp_seq=84 ttl=47 time=46.8 ms
64 bytes from 141.44.1.1: icmp_seq=85 ttl=47 time=59.7 ms
64 bytes from 141.44.1.1: icmp_seq=86 ttl=47 time=46.5 ms
64 bytes from 141.44.1.1: icmp_seq=87 ttl=47 time=49.5 ms
64 bytes from 141.44.1.1: icmp_seq=88 ttl=47 time=56.1 ms
64 bytes from 141.44.1.1: icmp_seq=89 ttl=47 time=45.8 ms
64 bytes from 141.44.1.1: icmp_seq=90 ttl=47 time=54.6 ms
64 bytes from 141.44.1.1: icmp_seq=91 ttl=47 time=47.3 ms
64 bytes from 141.44.1.1: icmp_seq=92 ttl=47 time=46.0 ms
64 bytes from 141.44.1.1: icmp_seq=93 ttl=47 time=45.0 ms
64 bytes from 141.44.1.1: icmp_seq=94 ttl=47 time=46.9 ms
64 bytes from 141.44.1.1: icmp_seq=95 ttl=47 time=47.7 ms
64 bytes from 141.44.1.1: icmp_seq=96 ttl=47 time=48.7 ms
64 bytes from 141.44.1.1: icmp_seq=97 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=98 ttl=47 time=55.1 ms
64 bytes from 141.44.1.1: icmp_seq=99 ttl=47 time=45.7 ms
64 bytes from 141.44.1.1: icmp_seq=100 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=101 ttl=47 time=49.1 ms
64 bytes from 141.44.1.1: icmp_seq=102 ttl=47 time=46.4 ms
64 bytes from 141.44.1.1: icmp_seq=103 ttl=47 time=47.1 ms
64 bytes from 141.44.1.1: icmp_seq=104 ttl=47 time=48.1 ms
64 bytes from 141.44.1.1: icmp_seq=105 ttl=47 time=50.7 ms
64 bytes from 141.44.1.1: icmp_seq=106 ttl=47 time=49.1 ms
64 bytes from 141.44.1.1: icmp_seq=107 ttl=47 time=47.8 ms
64 bytes from 141.44.1.1: icmp_seq=108 ttl=47 time=49.7 ms
64 bytes from 141.44.1.1: icmp_seq=109 ttl=47 time=47.0 ms
64 bytes from 141.44.1.1: icmp_seq=110 ttl=47 time=46.1 ms
64 bytes from 141.44.1.1: icmp_seq=111 ttl=47 time=46.8 ms
64 bytes from 141.44.1.1: icmp_seq=112 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=113 ttl=47 time=47.9 ms
64 bytes from 141.44.1.1: icmp_seq=114 ttl=47 time=46.9 ms
64 bytes from 141.44.1.1: icmp_seq=115 ttl=47 time=46.9 ms
64 bytes from 141.44.1.1: icmp_seq=116 ttl=47 time=49.7 ms
64 bytes from 141.44.1.1: icmp_seq=117 ttl=47 time=48.7 ms
64 bytes from 141.44.1.1: icmp_seq=118 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=119 ttl=47 time=48.3 ms
64 bytes from 141.44.1.1: icmp_seq=120 ttl=47 time=46.7 ms
64 bytes from 141.44.1.1: icmp_seq=121 ttl=47 time=49.6 ms
64 bytes from 141.44.1.1: icmp_seq=122 ttl=47 time=47.2 ms
64 bytes from 141.44.1.1: icmp_seq=123 ttl=47 time=45.5 ms
64 bytes from 141.44.1.1: icmp_seq=124 ttl=47 time=47.2 ms
64 bytes from 141.44.1.1: icmp_seq=125 ttl=47 time=54.5 ms
64 bytes from 141.44.1.1: icmp_seq=126 ttl=47 time=52.9 ms
64 bytes from 141.44.1.1: icmp_seq=127 ttl=47 time=48.7 ms
64 bytes from 141.44.1.1: icmp_seq=128 ttl=47 time=45.8 ms
64 bytes from 141.44.1.1: icmp_seq=129 ttl=47 time=48.3 ms
64 bytes from 141.44.1.1: icmp_seq=130 ttl=47 time=47.5 ms
64 bytes from 141.44.1.1: icmp_seq=131 ttl=47 time=45.9 ms
64 bytes from 141.44.1.1: icmp_seq=132 ttl=47 time=46.0 ms
64 bytes from 141.44.1.1: icmp_seq=133 ttl=47 time=47.4 ms
64 bytes from 141.44.1.1: icmp_seq=134 ttl=47 time=45.4 ms
64 bytes from 141.44.1.1: icmp_seq=135 ttl=47 time=48.0 ms
64 bytes from 141.44.1.1: icmp_seq=136 ttl=47 time=49.8 ms
64 bytes from 141.44.1.1: icmp_seq=137 ttl=47 time=48.2 ms
