PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=1 ttl=54 time=186 ms
64 bytes from 141.44.1.1: icmp_seq=2 ttl=54 time=601 ms
64 bytes from 141.44.1.1: icmp_seq=3 ttl=54 time=1979 ms
64 bytes from 141.44.1.1: icmp_seq=4 ttl=54 time=2481 ms
64 bytes from 141.44.1.1: icmp_seq=5 ttl=54 time=1888 ms
64 bytes from 141.44.1.1: icmp_seq=6 ttl=54 time=1822 ms
64 bytes from 141.44.1.1: icmp_seq=7 ttl=54 time=2002 ms
64 bytes from 141.44.1.1: icmp_seq=8 ttl=54 time=1746 ms
64 bytes from 141.44.1.1: icmp_seq=9 ttl=54 time=1348 ms
64 bytes from 141.44.1.1: icmp_seq=10 ttl=54 time=1250 ms
64 bytes from 141.44.1.1: icmp_seq=11 ttl=54 time=1805 ms
64 bytes from 141.44.1.1: icmp_seq=13 ttl=54 time=169 ms
64 bytes from 141.44.1.1: icmp_seq=12 ttl=54 time=1469 ms
64 bytes from 141.44.1.1: icmp_seq=14 ttl=54 time=97.9 ms
64 bytes from 141.44.1.1: icmp_seq=15 ttl=54 time=87.4 ms
64 bytes from 141.44.1.1: icmp_seq=16 ttl=54 time=93.4 ms
64 bytes from 141.44.1.1: icmp_seq=17 ttl=54 time=84.0 ms
64 bytes from 141.44.1.1: icmp_seq=18 ttl=54 time=72.5 ms
64 bytes from 141.44.1.1: icmp_seq=19 ttl=54 time=82.9 ms
64 bytes from 141.44.1.1: icmp_seq=20 ttl=54 time=92.8 ms
64 bytes from 141.44.1.1: icmp_seq=21 ttl=54 time=106 ms
64 bytes from 141.44.1.1: icmp_seq=22 ttl=54 time=109 ms
64 bytes from 141.44.1.1: icmp_seq=23 ttl=54 time=99.4 ms
64 bytes from 141.44.1.1: icmp_seq=24 ttl=54 time=534 ms
64 bytes from 141.44.1.1: icmp_seq=25 ttl=54 time=112 ms
64 bytes from 141.44.1.1: icmp_seq=26 ttl=54 time=85.4 ms
64 bytes from 141.44.1.1: icmp_seq=27 ttl=54 time=88.1 ms
64 bytes from 141.44.1.1: icmp_seq=28 ttl=54 time=88.1 ms
64 bytes from 141.44.1.1: icmp_seq=29 ttl=54 time=86.3 ms
64 bytes from 141.44.1.1: icmp_seq=30 ttl=54 time=67.6 ms
64 bytes from 141.44.1.1: icmp_seq=31 ttl=54 time=90.1 ms
64 bytes from 141.44.1.1: icmp_seq=32 ttl=54 time=75.4 ms
64 bytes from 141.44.1.1: icmp_seq=33 ttl=54 time=73.3 ms
64 bytes from 141.44.1.1: icmp_seq=34 ttl=54 time=71.5 ms
64 bytes from 141.44.1.1: icmp_seq=35 ttl=54 time=153 ms
64 bytes from 141.44.1.1: icmp_seq=36 ttl=54 time=62.3 ms
64 bytes from 141.44.1.1: icmp_seq=37 ttl=54 time=66.9 ms
64 bytes from 141.44.1.1: icmp_seq=38 ttl=54 time=64.1 ms
64 bytes from 141.44.1.1: icmp_seq=39 ttl=54 time=59.3 ms
64 bytes from 141.44.1.1: icmp_seq=40 ttl=54 time=67.6 ms
64 bytes from 141.44.1.1: icmp_seq=41 ttl=54 time=62.0 ms
64 bytes from 141.44.1.1: icmp_seq=42 ttl=54 time=62.9 ms
64 bytes from 141.44.1.1: icmp_seq=43 ttl=54 time=56.6 ms
64 bytes from 141.44.1.1: icmp_seq=44 ttl=54 time=60.7 ms
64 bytes from 141.44.1.1: icmp_seq=45 ttl=54 time=55.8 ms
64 bytes from 141.44.1.1: icmp_seq=46 ttl=54 time=57.7 ms
64 bytes from 141.44.1.1: icmp_seq=47 ttl=54 time=60.6 ms
64 bytes from 141.44.1.1: icmp_seq=48 ttl=54 time=58.3 ms
64 bytes from 141.44.1.1: icmp_seq=49 ttl=54 time=63.7 ms
64 bytes from 141.44.1.1: icmp_seq=50 ttl=54 time=55.9 ms
64 bytes from 141.44.1.1: icmp_seq=51 ttl=54 time=57.8 ms
64 bytes from 141.44.1.1: icmp_seq=52 ttl=54 time=70.8 ms
64 bytes from 141.44.1.1: icmp_seq=53 ttl=54 time=63.0 ms
64 bytes from 141.44.1.1: icmp_seq=54 ttl=54 time=96.7 ms
64 bytes from 141.44.1.1: icmp_seq=55 ttl=54 time=69.8 ms
64 bytes from 141.44.1.1: icmp_seq=56 ttl=54 time=50.6 ms
64 bytes from 141.44.1.1: icmp_seq=57 ttl=54 time=82.2 ms
64 bytes from 141.44.1.1: icmp_seq=58 ttl=54 time=235 ms
64 bytes from 141.44.1.1: icmp_seq=59 ttl=54 time=304 ms
64 bytes from 141.44.1.1: icmp_seq=60 ttl=54 time=64.7 ms
64 bytes from 141.44.1.1: icmp_seq=61 ttl=54 time=235 ms
64 bytes from 141.44.1.1: icmp_seq=62 ttl=54 time=64.4 ms
64 bytes from 141.44.1.1: icmp_seq=63 ttl=54 time=56.4 ms
64 bytes from 141.44.1.1: icmp_seq=64 ttl=54 time=53.6 ms
64 bytes from 141.44.1.1: icmp_seq=65 ttl=54 time=71.6 ms
64 bytes from 141.44.1.1: icmp_seq=66 ttl=54 time=176 ms
64 bytes from 141.44.1.1: icmp_seq=67 ttl=54 time=81.4 ms
64 bytes from 141.44.1.1: icmp_seq=68 ttl=54 time=91.6 ms
64 bytes from 141.44.1.1: icmp_seq=69 ttl=54 time=69.8 ms
64 bytes from 141.44.1.1: icmp_seq=70 ttl=54 time=49.9 ms
64 bytes from 141.44.1.1: icmp_seq=71 ttl=54 time=60.5 ms
64 bytes from 141.44.1.1: icmp_seq=72 ttl=54 time=284 ms
64 bytes from 141.44.1.1: icmp_seq=73 ttl=54 time=157 ms
