PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=91 ttl=54 time=249 ms
64 bytes from 141.44.1.1: icmp_seq=92 ttl=54 time=884 ms
64 bytes from 141.44.1.1: icmp_seq=93 ttl=54 time=1509 ms
64 bytes from 141.44.1.1: icmp_seq=94 ttl=54 time=1447 ms
64 bytes from 141.44.1.1: icmp_seq=95 ttl=54 time=1002 ms
64 bytes from 141.44.1.1: icmp_seq=96 ttl=54 time=301 ms
64 bytes from 141.44.1.1: icmp_seq=97 ttl=54 time=287 ms
64 bytes from 141.44.1.1: icmp_seq=98 ttl=54 time=386 ms
64 bytes from 141.44.1.1: icmp_seq=99 ttl=54 time=378 ms
64 bytes from 141.44.1.1: icmp_seq=100 ttl=54 time=228 ms
64 bytes from 141.44.1.1: icmp_seq=101 ttl=54 time=455 ms
64 bytes from 141.44.1.1: icmp_seq=102 ttl=54 time=1111 ms
64 bytes from 141.44.1.1: icmp_seq=103 ttl=54 time=1522 ms
64 bytes from 141.44.1.1: icmp_seq=104 ttl=54 time=3004 ms
64 bytes from 141.44.1.1: icmp_seq=105 ttl=54 time=4093 ms
64 bytes from 141.44.1.1: icmp_seq=106 ttl=54 time=3725 ms
64 bytes from 141.44.1.1: icmp_seq=107 ttl=54 time=3679 ms
64 bytes from 141.44.1.1: icmp_seq=108 ttl=54 time=6150 ms
64 bytes from 141.44.1.1: icmp_seq=109 ttl=54 time=5173 ms
64 bytes from 141.44.1.1: icmp_seq=110 ttl=54 time=4353 ms
64 bytes from 141.44.1.1: icmp_seq=112 ttl=54 time=4134 ms
64 bytes from 141.44.1.1: icmp_seq=113 ttl=54 time=4339 ms
64 bytes from 141.44.1.1: icmp_seq=114 ttl=54 time=5296 ms
64 bytes from 141.44.1.1: icmp_seq=115 ttl=54 time=4881 ms
64 bytes from 141.44.1.1: icmp_seq=116 ttl=54 time=7222 ms
64 bytes from 141.44.1.1: icmp_seq=117 ttl=54 time=8490 ms
64 bytes from 141.44.1.1: icmp_seq=118 ttl=54 time=7802 ms
64 bytes from 141.44.1.1: icmp_seq=119 ttl=54 time=7159 ms
64 bytes from 141.44.1.1: icmp_seq=123 ttl=54 time=4059 ms
64 bytes from 141.44.1.1: icmp_seq=124 ttl=54 time=3260 ms
64 bytes from 141.44.1.1: icmp_seq=125 ttl=54 time=2990 ms
64 bytes from 141.44.1.1: icmp_seq=126 ttl=54 time=2386 ms
64 bytes from 141.44.1.1: icmp_seq=127 ttl=54 time=9066 ms
64 bytes from 141.44.1.1: icmp_seq=128 ttl=54 time=8089 ms
64 bytes from 141.44.1.1: icmp_seq=133 ttl=54 time=3709 ms
64 bytes from 141.44.1.1: icmp_seq=135 ttl=54 time=1661 ms
64 bytes from 141.44.1.1: icmp_seq=136 ttl=54 time=838 ms
64 bytes from 141.44.1.1: icmp_seq=137 ttl=54 time=2406 ms
64 bytes from 141.44.1.1: icmp_seq=138 ttl=54 time=3534 ms
64 bytes from 141.44.1.1: icmp_seq=139 ttl=54 time=2938 ms
64 bytes from 141.44.1.1: icmp_seq=140 ttl=54 time=4845 ms
64 bytes from 141.44.1.1: icmp_seq=141 ttl=54 time=5986 ms
64 bytes from 141.44.1.1: icmp_seq=144 ttl=54 time=3817 ms
64 bytes from 141.44.1.1: icmp_seq=145 ttl=54 time=2880 ms
64 bytes from 141.44.1.1: icmp_seq=147 ttl=54 time=1660 ms
64 bytes from 141.44.1.1: icmp_seq=148 ttl=54 time=1762 ms
64 bytes from 141.44.1.1: icmp_seq=149 ttl=54 time=1050 ms
64 bytes from 141.44.1.1: icmp_seq=150 ttl=54 time=413 ms
64 bytes from 141.44.1.1: icmp_seq=151 ttl=54 time=239 ms
64 bytes from 141.44.1.1: icmp_seq=152 ttl=54 time=341 ms
64 bytes from 141.44.1.1: icmp_seq=153 ttl=54 time=107 ms
64 bytes from 141.44.1.1: icmp_seq=154 ttl=54 time=315 ms
64 bytes from 141.44.1.1: icmp_seq=155 ttl=54 time=631 ms
64 bytes from 141.44.1.1: icmp_seq=156 ttl=54 time=425 ms
64 bytes from 141.44.1.1: icmp_seq=157 ttl=54 time=1244 ms
64 bytes from 141.44.1.1: icmp_seq=158 ttl=54 time=1334 ms
64 bytes from 141.44.1.1: icmp_seq=159 ttl=54 time=892 ms
64 bytes from 141.44.1.1: icmp_seq=160 ttl=54 time=712 ms
64 bytes from 141.44.1.1: icmp_seq=161 ttl=54 time=355 ms
64 bytes from 141.44.1.1: icmp_seq=163 ttl=54 time=2273 ms
64 bytes from 141.44.1.1: icmp_seq=164 ttl=54 time=1486 ms
64 bytes from 141.44.1.1: icmp_seq=165 ttl=54 time=821 ms
64 bytes from 141.44.1.1: icmp_seq=166 ttl=54 time=2270 ms
64 bytes from 141.44.1.1: icmp_seq=167 ttl=54 time=1733 ms
64 bytes from 141.44.1.1: icmp_seq=168 ttl=54 time=1001 ms
64 bytes from 141.44.1.1: icmp_seq=169 ttl=54 time=388 ms
64 bytes from 141.44.1.1: icmp_seq=170 ttl=54 time=227 ms
64 bytes from 141.44.1.1: icmp_seq=171 ttl=54 time=481 ms
64 bytes from 141.44.1.1: icmp_seq=172 ttl=54 time=440 ms
64 bytes from 141.44.1.1: icmp_seq=173 ttl=54 time=836 ms
64 bytes from 141.44.1.1: icmp_seq=174 ttl=54 time=840 ms
64 bytes from 141.44.1.1: icmp_seq=175 ttl=54 time=988 ms
64 bytes from 141.44.1.1: icmp_seq=176 ttl=54 time=1192 ms
64 bytes from 141.44.1.1: icmp_seq=177 ttl=54 time=1238 ms
64 bytes from 141.44.1.1: icmp_seq=178 ttl=54 time=641 ms
64 bytes from 141.44.1.1: icmp_seq=179 ttl=54 time=660 ms
64 bytes from 141.44.1.1: icmp_seq=180 ttl=54 time=869 ms
64 bytes from 141.44.1.1: icmp_seq=181 ttl=54 time=1340 ms
64 bytes from 141.44.1.1: icmp_seq=182 ttl=54 time=1923 ms
64 bytes from 141.44.1.1: icmp_seq=183 ttl=54 time=1253 ms
64 bytes from 141.44.1.1: icmp_seq=184 ttl=54 time=558 ms
64 bytes from 141.44.1.1: icmp_seq=185 ttl=54 time=501 ms
64 bytes from 141.44.1.1: icmp_seq=186 ttl=54 time=681 ms
64 bytes from 141.44.1.1: icmp_seq=187 ttl=54 time=573 ms
64 bytes from 141.44.1.1: icmp_seq=188 ttl=54 time=274 ms
64 bytes from 141.44.1.1: icmp_seq=189 ttl=54 time=216 ms
64 bytes from 141.44.1.1: icmp_seq=190 ttl=54 time=166 ms
64 bytes from 141.44.1.1: icmp_seq=191 ttl=54 time=279 ms
64 bytes from 141.44.1.1: icmp_seq=192 ttl=54 time=447 ms
64 bytes from 141.44.1.1: icmp_seq=193 ttl=54 time=300 ms
64 bytes from 141.44.1.1: icmp_seq=194 ttl=54 time=634 ms
64 bytes from 141.44.1.1: icmp_seq=195 ttl=54 time=649 ms
64 bytes from 141.44.1.1: icmp_seq=196 ttl=54 time=477 ms
64 bytes from 141.44.1.1: icmp_seq=197 ttl=54 time=215 ms
64 bytes from 141.44.1.1: icmp_seq=198 ttl=54 time=111 ms
64 bytes from 141.44.1.1: icmp_seq=199 ttl=54 time=133 ms
64 bytes from 141.44.1.1: icmp_seq=201 ttl=54 time=116 ms
64 bytes from 141.44.1.1: icmp_seq=203 ttl=54 time=120 ms
64 bytes from 141.44.1.1: icmp_seq=204 ttl=54 time=130 ms
64 bytes from 141.44.1.1: icmp_seq=205 ttl=54 time=211 ms
64 bytes from 141.44.1.1: icmp_seq=206 ttl=54 time=235 ms
64 bytes from 141.44.1.1: icmp_seq=207 ttl=54 time=328 ms
64 bytes from 141.44.1.1: icmp_seq=208 ttl=54 time=637 ms
